,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
4344,"Independent research projects by outstanding German majors leading to a substantial honors thesis, undertaken in close cooperation with a department faculty member. Department Permission Required.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=494&p_subj=GERM,N,0,Spring Honor Thesis
4345,"Description: This course builds on GERM 541. Based on an active student-centered critical-thinking approach, this course wants to make students aware of language use in context and socioculturally significant interactions. The emphasis is on interactional communication, reading, writing, translations, and intercultural awareness and understanding. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=542&p_subj=GERM,N,0,1St Yr German Ii For Grad Stud
4346,Description: Topics and credit hours may vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=677&p_subj=GERM,N,0,Special Topics
4347,"Description: This course familiarizes students with basic concepts of research design and statistical methodology that used in policy analysis. It covers (1) fundamental concepts of scientific inference and barriers to inference in observational data, (2) the implementation and evaluation of experimental and observational research designs in policy analysis, (3) descriptive and graphical statistics, (4) statistical hypothesis testing, (5) elementary use and interpretation of the generalized linear model, and (6) using the R statistical software environment for data organization and analysis. It is strongly recommended that students complete this course in the fall semester of their first year; in all cases, it must be completed before the end of the first year. Master of Global Affairs students only. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=503&p_subj=GLBL,Y,1,Introduction To Statistics
4348,Description: The Master of Global Affairs internship is a graduate-level supervised field experience for students in the MGA program. All internships must be preapproved and must be conducted after the student has completed a minimum of 18 credit hours in the program. Master of Global Affairs students only. Instructor Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=519&p_subj=GLBL,Y,2,Master Global Affairs Intrnshp
4349,Description: The Master of Global Affairs capstone course is the culmination of all graduate coursework and internship experience in the program; it is a significant piece of work than what is normally expected of a term paper. The capstone project must reflect a scholarly and professional analysis informed by the application of analytical strategies that address a real-world problem or public policy issue. All MGA students must complete the capstone in their final semester. Instructor Permission Required.,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=520&p_subj=GLBL,Y,2,Master Global Affairs Capstone
4350,Description: Graduate level independent reading course. Topics vary. Master of Global Affiars students only. Instructor Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=521&p_subj=GLBL,Y,2,Dir Reading In Global Affairs
4351,"Description: The course takes a problem-driven approach to practical applications of quantitative research methods in political and policy studies. Using a series of international domestic policy topics, students will learn to apply and extend their knowledge of research design and statists as part of developing a systematic approach to the study of global affairs. Student assignments will involve research related to the practice of global affairs, including comparative policy-making, political economy and security. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=523&p_subj=GLBL,N,1,Quantitative Applications
4352,"Description: How does exchange rate policy fit into a country's macroeconomic environment? How do international capital markets constrain policy space? Students will model the linkages between exchange rates, interest rates, capital flows, and prices. The course will emphasize emerging economies. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=542&p_subj=GLBL,N,0,Intl Macroeconomic Policy
4353,"Description: The Middle East and North Africa plays a key role in international patterns of energy, human rights, migration, development, and security and remains in a state of transition a decade after the Arab uprisings of 2011. This course offers a survey of critical political, social, and economic topics in the Middle East and North Africa region with a particular focus on political economy, international and regional security, and international development. Over the semester, students will gain an understanding of the intersecting drivers of change in the region and the ability to put them into historical and comparative context. The course also will equip students with the skills to analyze cross-cutting conceptual developments and to identify nuance and variation in their public policy applicability across the region. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=555&p_subj=GLBL,N,0,Middle East Security & Economy
4354,Description: Individual research for graduate students in the Master of Global Affairs. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=573&p_subj=GLBL,Y,1,Non-Thesis Graduate Research
4355,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=677&p_subj=GLBL,N,0,Special Topics
4356,,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=007&p_subj=GLHT,False,0,Visiting Research
4357,Description: This course enables undergraduates pursuing the Global Health Technologies Minor to perform independent research on a specific design challenge in global health technology and innovation. Students are advised by the faculty and often mentored by a graduate student/post-doc. Instructor Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=400&p_subj=GLHT,Y,1,Glht Independent Research
4358,Description: Students in this course will work in the preparation of a paper reporting a previously completed design project. Instructor Permission Required. Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=401&p_subj=GLHT,N,0,Glht Research Reporting
4359,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=677&p_subj=GLHT,N,0,Special Topics
4360,"Description: Section 1 reads Euripides or Sophocles. Section 2 reads excerpts from New Testament, Septuagint, and Early Christian writers. Includes review of forms and syntax. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=202&p_subj=GREE,N,0,Intermediate Greek
4361,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=GREE,N,0,Special Topics
4362,"Description: Open to third and fourth year undergraduates. An opportunity to read the Iliad/Odyssey in the original Greek. Includes review of forms and syntax as well as discussion of Homeric dialect, meter, poetics, and oral tradition. May be repeated (once) for credit. Graduate/Undergraduate Equivalency: GREE 502. Mutually Exclusive: Cannot register for GREE 302 if student has credit for GREE 502.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=GREE,N,0,Homer
4363,"Description: Greek prose for third or fourth year undergraduates. Choice of texts flexible depending on the needs and interests of those enrolled. Includes review of forms and syntax. Continuation of GREE 301, with additional texts. May be repeated for credit. Graduate/Undergraduate Equivalency: GREE 505. Mutually Exclusive: Cannot register for GREE 305 if student has credit for GREE 505.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=305&p_subj=GREE,N,0,"Plato,Aristotle,New Tstmnt Grk"
4364,"An error occurred: HTTPSConnectionPool(host='courses.rice.edu', port=443): Read timed out. (read timeout=1)",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=306&p_subj=GREE,N,0,Advanced Greek: Poetry
4365,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=GREE,N,0,Special Topics
4366,"Description: Independent work for qualified juniors and seniors in genres or authors not presented in other courses. Effective May 15, 2019, this course does not carry D1 credit. Instructor Permission Required. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=492&p_subj=GREE,N,0,Directed Reading
4367,"Description: Open to graduate students. Read the Iliad/Odyssey in the original Greek. Review of forms and syntax. Discussion of Homeric dialect, meter, poetics, and oral tradition. Requirement beyond GREE 302: oral presentation analyzing diction and poetic formulas in a specific passage. Repeatable (once) for credit. Graduate/Undergraduate Equivalency: GREE 302. Mutually Exclusive: Cannot register for GREE 502 if student has credit for GREE 302.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=502&p_subj=GREE,N,0,Homer
4368,"Description: Graduate level, independent reading course. Topics vary.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=503&p_subj=GREE,N,0,Directed Reading Grad Students
4369,"Description: Graduate level, independent reading course. Topics vary. Offered in the spring semester.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=504&p_subj=GREE,N,0,Gr Students Directed Reading
4370,"Description: Greek prose for graduate students in related disciplines. Choice of texts flexible depending on the needs and interests of those enrolled. Includes review of forms and syntax. Continuation of GREE 501, with additional texts. Additional work required beyond GREE 305, in the form of an oral presentation analyzing the language and style of one or more text in terms of its historical, social, and generic context. May be repeated for credit. Graduate/Undergraduate Equivalency: GREE 305. Mutually Exclusive: Cannot register for GREE 505 if student has credit for GREE 305.  Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=505&p_subj=GREE,N,0,"Plato,Aristotle,New Tstmnt Grk"
4371,Description: Topics and credit hours vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=677&p_subj=GREE,N,0,Special Topics
4372,,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=007&p_subj=HART,False,0,Visiting Research
4373,"Description: This course provides credit for students who have successfully completed approved examinations, such as Advanced Placement Exams. This credit counts toward the total credit hours required for graduation, but does not count toward total credit hours required for the Art History Major. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=100&p_subj=HART,N,0,Ap/Oth Credit In Art History
4374,"Description: A survey of painting, sculpture, and architecture from Antiquity through the 15th century. Cross-list: CLAS 102, MDEM 111. Mutually Exclusive: Cannot register for HART 101 if student has credit for HART 220. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=101&p_subj=HART,N,0,Intro To Hist Of Western Art I
4375,"Description: A survey of painting, sculpture, and architecture from the Renaissance through the 20th century. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=102&p_subj=HART,N,0,Intro Hist Of Western Art Ii
4376,"Description: An in-depth look at important moments in the history of European and American art, from the Renaissance to the 20th century. Rather than being a comprehensive survey, the course will focus on a limited number of works by leading artists in the fields of painting, sculpture, and architecture. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=105&p_subj=HART,N,0,Key Monuments & Artists
4377,"Description: Focusing on a range of topics--from Greek temples to Chinese painting, Michelangelo to Andy Warhol--this class introduces students to a selection of primary monuments and figures from art history, as well as to some of the questions art historians have asked about them. Guest lecturers and visits to local museums are planned. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=115&p_subj=HART,N,0,Monuments And Methods
4378,"Description: This course will introduce the works of fourteen great artists from the Renaissance to modern times. We will learn about the artists through readings, images shown in class, trips to Houston's museums, and by viewing feature-length films that dramatize the lives of the artists. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=125&p_subj=HART,N,0,Great Artists And Films
4379,"Description: Featuring the important, but less familiar works of American and European directors from the 1930s - 1960s. This class represents an ideal mixture of modernist auteur cinema and shameless viewing pleasure. Cross-list: FILM 180.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=180&p_subj=HART,N,0,14 Films Before You Graduate
4380,"Description: This course tracks Rome’s rise from a small village to a massive empire, through the lens of the art and architecture that the ancient Romans left behind.  We’ll examine the physical remains of this remarkable civilization, looking at famous monuments like the Colosseum and the Pantheon as well as lesser-known temples, houses, mosaics, wall-paintings, and sculptures that revolutionized the ancient world and helped to shape our own. Some course meetings will be held at area museums. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=201&p_subj=HART,N,0,Art And Arch Of Ancient Rome
4381,"Description: This class surveys European art from roughly 1900-1945, paying particular attention to the social contexts in which this work emerged and the interpretive strategies that have been used to understand it. Among the topics to be considered are Cubism, Futurism, Constructivism, Dada, and Surrealism, as well as the reaction against these by emergent authoritarian regimes of the 1930s. Students cannot receive credit for HART 202 and HART 305. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=202&p_subj=HART,N,1,"Modern Art In Europe,1900-1945"
4382,"Description: This course introduces the major developments, figures, and works of late modernism beginning with the shift, during the 1940s, from Paris to New York as the cultural center of avant-garde. The class charts the rise of Abstract Expressionism in the 1940s and 50s and follows its divided legacies in the 1960s and 70s. We will examine the post-modern debates of the 1980s and the 90s and conclude with a look at trends in contemporary art. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=205&p_subj=HART,N,0,Art Since 1945
4383,"Description: This course is designed to provide students with no previous background in art history with an introduction to the discipline through the ""in situ"" study of 14 works from the permanent collection of The Museum of Fine Arts, Houston. Some of the topics to be addressed include British aristocratic portraiture, French Impressionist painting, the aesthetic dialogues of Matisse and Picasso, the abstracted sculptures of Brancusi and Calder, and the site-specific installation of Turrell's light tunnel. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=207&p_subj=HART,N,0,Fourteen Artworks At The Mfah
4384,"Description: Introduction to digital photography through exploration of light, camera, and computer. Assignments include looking, taking, discussing, adjusting, printing and writing about photographs. The class is a balance of visual awareness, technical skills and meaning in the context of photography’s continuing history. Cross-list: FOTO 210.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=209&p_subj=HART,N,0,Beginning Digital Photography
4385,"Description: An introduction to the art and archaeology of the ancient Greek world. Artistic media, such as sculpture and vase painting will be examined in a broad range of the material culture ancient Greeks created and used. Consideration of these materials within their cultural, social and religious contexts will be discussed. Cross-list: CLAS 218.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=216&p_subj=HART,N,1,Greek Art And Archaeology
4386,Description: This course will focus on art and architecture produced in Western Europe from the 4th to the 15th centuries. The broad survey of material will be covered chronologically and by geographic region  Mutually Exclusive: Cannot register for HART 220 if student has credit for CLAS 102/HART 101/MDEM 111. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=220&p_subj=HART,N,0,Introduction To Medieval Art
4387,"Description: This course is an introduction to the monuments and masterpieces of Islamic art and architecture. Proceeding chronologically, we will examine building types such as mosques, tombs, and palaces, along with examples of pottery, calligraphy, and contemporary art. Special emphasis will be placed on the global context and cross-cultural dimensions of Islamic art.  The course will have some meetings at the Museum of Fine Arts, Houston. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=221&p_subj=HART,N,1,Intro To Islamic Art And Arch
4388,"Description: Introduction to architectural thought. Lectures and discussions focusing on practice and ideas that have exercised a significant influence on the discourse and production of architecture and urbanism. Cross-list: ARCH 225, Graduate/Undergraduate Equivalency: HART 545. Mutually Exclusive: Cannot register for HART 225 if student has credit for HART 545. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=225&p_subj=HART,N,0,Intro Architectural Thinking
4389,"Description: This course will explore cities, deemed ideal, and buildings, deemed canonic, that operate as imaginary objects and that, all too often, pass as exemplary models to be emulated, be it as social machines, technical accomplishments, or expressions of cultural, if not political, desires. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=228&p_subj=HART,N,1,Intro To A Hist Of Architect
4390,Description: Topics and credit hours may vary each semester. Contact department for current semester's topic(s).  Repeatable for Credit. ,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=HART,N,0,Special Topics
4391,"Description: This class examines the history of both artistic and non-artistic uses of photography from its origins in the nineteenth century, across the 20th century and into the present. In so doing we will pay close attention to a number of specific thematics, from the medium's conception in the late eighteenth century, through avant-garde and institutional debates in the twentieth and twenty-first centuries concerning photography's relationship to artistic and social issues, to questions of gender, race, class, and global politics. Cross-list: FOTO 263. Mutually Exclusive: Cannot register for HART 263 if student has credit for HART 363. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=263&p_subj=HART,N,1,History Of Photography
4392,"Description: This course will explore the tradition of auteur filmmaking, with an emphasis on how this particular artistic mode situates itself within the evolving system of Hollywood institutional film. The auteur, in contrast to other filmmakers, exhibits unparalleled control over the production and post-production processes and is uniquely identifiable through the notable conventions of aesthetics, style, theme, content, atmosphere, etc. FILM 485/HART 481 ( 4 Credit Hours ) will require completion of additional coursework for the additional credit than the FILM 285/HART 283 (3 Credit Hours). Credit may not be received for more than one of FILM 285 or FILM 485 or Hart 283 or HART 481. Cross-list: FILM 285, Equivalency: HART 481. Mutually Exclusive: Cannot register for HART 283 if student has credit for HART 481. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=283&p_subj=HART,N,0,Auteur Film
4393,"Description: A course focusing on contexts such as movies and ads, familiar plots and conventions define their significance. Cross-list: ENGL 286.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=286&p_subj=HART,N,0,Classical & Contemporary Film
4394,"Description: Special Topics class taught by visiting Curators from the MFAH. FA 2016: Intro to Islamic Art at the MFAH: This course explores the dynamic, multifaceted character of Islamic art and architecture across the globe. Travel from Spain to India studying original art at the Museum of Fine Arts. Gain understanding of the historical, religious, social, craft, and visual contexts of the art. Graduate/Undergraduate Equivalency: HART 597. Mutually Exclusive: Cannot register for HART 297 if student has credit for HART 597. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=297&p_subj=HART,N,0,Special Topics: Museum Studies
4395,"Description: Independent study, reading, or special research in art history. Instructor Permission Required. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=299&p_subj=HART,N,0,Independent Study
4396,"Description: The aim of this course is to provide select students a practicum in museum work accompanied by an introduction to a history of museums, including the varieties of museums, their role in society and significant issues in museums today. Instructor Permission Required.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=300&p_subj=HART,N,1,Museum Internship I
4397,"Description: This internship provides select students with a practicum in museum work, in coordination with a Houston-area museum. A HART faculty member will supervise the internship. Students will work directly with the museum to gain hands-on experience in curatorial practice and collection, exhibition and archive management, while also learning about the role of museums in society and significant issues in museums today. Instructor Permission Required. Repeatable for Credit. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=HART,N,1,Museum Internship Ii
4398,"Description: This seminar considers theories and narratives of nature in the crafting of modern and contemporary art and architecture in the Americas. Artists and architects will include Maria Fernanda Cardoso, Rogelio Salmona (Colombia); Ana Mendieta, Ricardo Porro (Cuba); Ana Maria Tavaraes, Lina Bo Bardi (Brazil); Mark Dion and Buckminster Fuller (USA). Graduate/Undergraduate Equivalency: HART 568. Mutually Exclusive: Cannot register for HART 302 if student has credit for HART 568. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=HART,N,2,"Art, Architecture And Nature"
4399,Description: Independent Study in Art History. Instructor Permission Required.,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=303&p_subj=HART,N,0,Independent Study
4400,"Description: This research seminar will explore contemporary trends in Cuban culture through literary texts, films, music and works of art. We will examine the ways in which politics and the practices of artistic representation intersect in post-revolutionary Cuba. When possible, a research trip to Cuba is organized as part of this seminar. (When offered, the trip is optional. There is a course fee.) More information is available at: https://cultures.rice.edu/study-abroad. Knowledge of Spanish is desirable but not required. Instructor Permission Required.Cross-list: FILM 339, SPPO 375, Graduate/Undergraduate Equivalency: HART 565. Mutually Exclusive: Cannot register for HART 304 if student has credit for HART 565. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=304&p_subj=HART,N,2,Trends In Cuban Culture
4401,"Description: This course will examine the heterodox individual artistic practices and movements in post-World-War Two Europe. Focusing on the countries of France, Belgium, The Netherlands, Germany, Italy, England, and the Soviet Union, particular attention will be given to the post-war reconstruction of the Marshall Plan, economic austerity and recovery, the French colonial war in Algeria, the legacy of the German occupation, the rise of the student movement and the protests of May ’68, Stalinism and the cold war, and the national guilt of the Holocaust. In addition to weekly readings, each student will be responsible for a 20-minute presentation and a 10-15 page final paper. Graduate/Undergraduate Equivalency: HART 505. Mutually Exclusive: Cannot register for HART 305 if student has credit for HART 505. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=305&p_subj=HART,N,0,"Art In Europe, 1945-2000"
4402,"Description: This course asks “who and what are black contemporary artists citing and why does it matter?” This class will tackle key readings in the field of black studies through investigating the theoretical attentions of contemporary artists. Why are the readings of Zora Neale Hurston, Frantz Fanon, Hortense Spillers, W.E.B. Du Bois, Toni Morrison, Saidiya Hartman, Claudia Rankine, and Fred Moten, to name a few, necessary for the critical analysis of black visual and performance art? This art history course will expose students to the interdisciplinary field of black studies, feminist studies, visual culture, queer theory, disabilities studies, and performance studies. The course ends with the creative development of an analytical essay on an art object of the student’s choice. This assignment is methodically organized over the semester to encourage each student to develop an argument that arises from their own close reading, application of theory, and lived experiences. It is priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=306&p_subj=HART,N,0,Black Citational Practices
4403,"Description: Art historians, especially in the United States, tend to rely on photographs, but a study of the actual object is invaluable in studying works of art. This course aims to inform students about the technical study of art, which in the last fifty years has become a major field of research. Most classes will be held at the Museum of Fine Arts, Houston, or other Houston collections. Graduate/Undergraduate Equivalency: HART 549. Mutually Exclusive: Cannot register for HART 307 if student has credit for HART 549. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=307&p_subj=HART,N,0,Technical Art History
4404,"Description: Seminar combines primary and secondary sources to explore the urban experiences of Ottoman men and women in the 18th and early 19th centuries. Looking at several cities including Istanbul, Izmir, Salonika, Damascus, Aleppo and Alexandria, we will discuss such issues as neighborhood and community life, public spaces and recreational culture perceptions of space, urban institutions, Muslim and non-Muslim relations, migration and marginality, violence and death. Reading knowledge of French and /or Turkish helpful but not necessary. Cross-list: ARCH 318, Graduate/Undergraduate Equivalency: HART 508. Mutually Exclusive: Cannot register for HART 308 if student has credit for HART 508. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=HART,N,1,Living In The City
4405,"Description: In this course you will uncover the roots of the Eternal City, Rome. Through analysis of archaeological remains, art historical methodologies and theories of social space, intentionality, structuration and agency, you will question how and why Rome became a city and a culture the reshaped the world. The course will focus on the first 500 years of Roman art and society, ca. 800-300 BCE, looking closely at the kingship of Rome, the genesis of the Roman Republic, and the ability to understand a distant culture through artistic manufacture, materiality and philosophical shift. Cross-list: CLAS 309, Graduate/Undergraduate Equivalency: HART 509. Mutually Exclusive: Cannot register for HART 309 if student has credit for HART 509. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=309&p_subj=HART,N,1,The Dawn Of Rome
4406,"Description: From Brazil Builds, MOMA's 1943 celebrated exhibition to Brasilia, the supermodern capital created ex-nihilo in the middle of nowhere, to today's worldwide attention on Brail, this seminar examines the built environment - natural and architectural - as the main transmitter of modernism in Brazil. This is a seminar on Brazilian modernism and its discontents. Cross-list: ARCH 315, Graduate/Undergraduate Equivalency: HART 526. Mutually Exclusive: Cannot register for HART 310 if student has credit for HART 526. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=HART,N,1,Brazil Built
4407,"Description: An in-depth examination of the art and archaeology of ancient Mesopotamia, Syria, Anatolia and Persia. Beginning in The Neolithic period, we will examine the development of Near Eastern art and architecture through the study of ancient sites and their associated material culture. Cross-list: ANTH 331, Graduate/Undergraduate Equivalency: HART 511. Mutually Exclusive: Cannot register for HART 311 if student has credit for HART 511. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=HART,N,0,Ancient Near East
4408,"Description: This course introduces students to advanced ethical, legal and practical issues facing museums as they acquire and maintain collections from areas prone to looting and destruction, especially the Ancient Mediterranean. We will examine the civic engagement and operation of the Menil Collection through close, on-site archival and object study. Cross-list: MUCH 308, Graduate/Undergraduate Equivalency: HART 540. Mutually Exclusive: Cannot register for HART 312 if student has credit for HART 540/MUCH 508. ",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=HART,N,0,Adv Study In Museums/Heritage
4409,"Description: How have art and activism in the Americas from the early 20th century to today informed and fed one another? Moving between South and North America, this seminar study artists and collectives that have confronted, in isolation or with intersectionality in mind, indigenous rights, gender equality, LGBT+ rights, and systemic racism. The course is organized around artwork and activism grouped within three loose themes: race and disenfranchisement; gender and sexuality; and ecology and capitalism. From graphic art employed by the Black Panthers to photographic essays in defense of ways of life in the Amazon Basin of northern Brazil, “Art and Activism” will offer a chance to contemplate, study, and debate visual and performative projects that have endeavored (or continue to try) to effect social change. Some class meetings may be held at area cultural spaces. Graduate/Undergraduate Equivalency: HART 514.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=315&p_subj=HART,N,1,Art And Activism
4410,"Description: This course, part of the HRC’s Digital Humanities Initiative, is devoted to the virtual reconstruction of ancient urban landscapes with focus on individual buildings in their urban settings. All course activities will be based around interdisciplinary student teams who will work together through the semesters to complete a virtual reconstruction project. Instructor Permission Required.Cross-list: ANTH 346, ARCH 310, COMP 316.",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=316&p_subj=HART,N,0,Virtl Reconstr Historcl Cities
4411,"An error occurred: HTTPSConnectionPool(host='courses.rice.edu', port=443): Read timed out. (read timeout=1)",https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=317&p_subj=HART,N,0,Modern Art And Monstrosity
